mode,label,case,concurrency,completed,duration,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,max_output_tokens_per_s,max_concurrent_requests
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,4k_500,1,64,177.4796168370085,0.36060479023219616,744.006564546884,90.25825210514923,834.2648166520331,2772.499648984194,6899.401981220725,661.5986099216116,4396.520251941256,8.459816526631839,8.465306691591255,8.547402778855789,8.467398490503198,8.467171996016987,8.601187436142936,120.0,3
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,4k_500,2,64,88.63904731300136,0.7220294208939748,1489.7046392400905,180.7217077078216,1670.4263469479122,2730.009603499184,6962.846159968467,305.9348894539653,1953.8675639498979,9.452902972776377,9.088667508620771,14.367462151521076,9.723627689062196,8.664804001455195,9.197732997708949,234.0,5
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,4k_500,4,64,48.04549176800356,1.332070869604909,2748.3535944976534,333.4131759406412,3081.7667704382948,2904.3254494695248,5904.935716208563,190.08498942253027,460.10569245001534,10.849349486550285,10.640095828581995,14.908850242072404,10.887564641738148,9.374892004416324,120.62622632132842,448.0,7
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,4k_500,8,64,29.392836396000348,2.177401293898565,4492.45517584578,544.9967394837674,5037.451915329548,3465.154267906428,7355.557271800207,232.34316388993648,855.9917751970352,12.848571736552126,13.151040553177253,16.891066057001588,12.96769701592643,9.974189000786282,133.487435648276,781.0,13
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,4k_500,16,64,19.691834326004027,3.2500781258089746,6705.622128133935,813.4843983958432,7519.106526529778,4451.4786526251555,9628.622683690626,414.0116690944069,1210.3773663609172,16.725608273272726,16.896924916549555,25.458154868885945,16.195398911565473,10.618977990816347,139.5732117135776,1323.0,20
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,4k_500,32,64,13.210240820000763,4.844726214460964,9995.729964292383,1212.6198317101591,11208.349796002542,5398.431405109704,10732.149385179218,608.1610572819045,1078.215247621556,20.345654308829133,21.192366238792786,31.547153262715426,19.215106367918768,11.71403999614995,141.69876840198413,2127.0,38
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,4k_500,64,64,6.6645736069913255,9.603014952503818,19813.120506536237,2403.604633189979,22216.725139726215,3953.2306637647707,6567.401905360457,914.0405333905619,996.155689767038,12.711030008579746,12.297649891243667,20.2872808727746,12.19103158771768,12.159705001977272,13.71513492485974,4701.0,64
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,32k_500,1,64,189.16237903400906,0.3383336598261623,5635.02111489282,84.68385776180146,5719.704972654622,2954.997646094853,5425.978489875414,832.9541037662693,1950.3099241464215,8.508390318470404,8.500872475814091,8.604207173773798,8.512092124410003,8.509284001775086,8.680329553899355,120.0,3
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,32k_500,2,64,112.5592583079997,0.568589389820557,9469.980666390398,142.3161474302422,9612.296813820642,3481.390309672406,8297.223051633913,727.3768436721184,1518.4152312348306,11.14285967818359,9.524944933820208,29.39773502680071,11.047104126348572,8.7152049964061,134.82459095015648,232.0,4
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,32k_500,4,64,78.58494369901018,0.8144053680960531,13564.099556814037,203.8431186176668,13767.942675431703,4817.883918326743,10914.945517156448,777.2276935465925,1624.3923964619169,16.784262762652013,15.177262696531697,43.61092513453993,16.20819053701265,9.331080000265501,179.14389441604726,420.0,7
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,32k_500,8,64,55.364727273001336,1.1559706541028996,19252.94411266438,289.3358423136617,19542.27995497804,6706.996148999906,14992.158411807612,776.0042702659575,1501.282997290254,28.56666114704741,24.393199073146764,153.4874206505864,23.790861713447246,10.003236995544285,150.23025415692246,658.0,11
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,32k_500,16,64,38.62649633799447,1.6568937405033861,27595.92769358963,414.71532545505846,28010.643019044688,9203.57398232818,21217.98858390175,1009.9701248593647,2747.3802569630766,46.89706577846781,36.0273865696448,349.6306341544463,32.866836158574486,10.60417499684263,202.4589599625324,1298.0,19
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,32k_500,32,64,24.810993660998065,2.579501686810938,42962.16485983016,645.6412112660065,43607.80607109617,11183.094050640193,22191.592490302133,1481.8545569373782,3406.520957159082,55.486178419166464,43.322507893828,333.3141722396604,38.91438763603698,11.657174007268623,567.0196647587,2165.0,35
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,32k_500,64,64,13.286882181986584,4.816780876311726,80224.53916578849,1205.6252009005866,81430.16436668907,10504.316164734973,13211.553552789117,3323.7182496886817,7750.997794529831,75.41548368553647,28.828745173079756,889.4761808754276,28.80338481597489,12.063272995874286,143.73086364474148,4391.0,64
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,128k_500,1,64,329.0441964339989,0.19450274672398726,13397.197239077364,48.683429683930505,13445.880668761296,5140.742001172384,10543.745632554928,2986.2627038753544,6801.408305561198,8.636041944275714,8.641294355414999,8.842718442705971,8.642204671825489,8.632330005639233,8.88482300186297,118.0,3
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,128k_500,2,64,246.67523257499852,0.25945044961310254,17870.74427368674,64.93963675550452,17935.683910442247,7668.0007557654335,22209.015024831748,3169.790040485168,6604.0875596109245,17.623758727355263,13.82471102914359,46.121690449631956,18.043571373612348,8.848747005686164,195.2043228739057,230.0,4
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,128k_500,4,64,168.88644853100413,0.3789528440954272,26101.975844383574,94.85071264944763,26196.826557033022,10434.741333047668,23693.838049779,2948.058382063209,6380.410551404492,30.227560149344885,25.899203900979124,95.94411766463641,30.031174610525454,9.424746996955946,195.085170835373,440.0,6
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,128k_500,8,64,126.03063074300007,0.5078130580057789,34977.76670648649,127.1040215030402,35104.870727989524,15469.979359156014,33769.18596744479,3113.0550512189075,8073.554012579551,59.81489776322965,51.5994824587821,318.8925224161442,49.56708472754167,10.22535699303262,200.44914921047163,708.0,11
tp4_dp4_dpa_nvl_cg16,TP4+DP4+DPA+NVLS/MNNVL,128k_500,16,64,96.98482347899699,0.6598970612537107,45453.194034576496,165.17017225348738,45618.36420682998,23691.57252634409,51655.413117462,3527.915488203462,10091.7073689471,132.55152303371634,92.43332817899554,1236.3957732932456,80.88209087113684,10.906027993769385,362.5896769211976,1472.0,19
