source_file,run_set,workload,input_len,output_len,concurrency,row_type,completed,duration_s,request_throughput_req_s,input_throughput_tok_s,output_throughput_tok_s,total_throughput_tok_s,mean_e2e_latency_ms,median_e2e_latency_ms,p90_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,max_output_tokens_per_s,max_concurrent_requests,tp_size,dp_size,ep_size,enable_nccl_nvls,enable_dp_attention,enable_dp_lm_head,attention_backend,moe_a2a_backend,moe_runner_backend,kv_cache_dtype,quantization,status
tp8_dp8_dpa_megamoe_4k_500_c1.json,tp8_dp8_dpa_megamoe,4k_500,4096,500,1,matrix,100,290.779798163996,0.3439028454913546,719.7233140727618,85.79000383627331,805.5133179090351,2906.9432135802344,2763.5186499974225,5061.559869299526,6975.575134475454,815.647172700119,312.58003300172277,6242.406220882986,8.417945998483408,8.42051777326013,8.525462958561,8.417014125091839,8.578865151139325,120.0,3,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_4k_500_c4.json,tp8_dp8_dpa_megamoe,4k_500,4096,500,4,matrix,100,81.93809356400016,1.2204335694226527,2554.135578423422,304.44935822817496,2858.5849366515968,3259.2367748502875,3301.148604001355,5623.990004300869,8208.777454804951,316.45007547034766,296.632783003588,1995.1033068593833,11.85439005719906,11.237428759878748,25.13906264890105,11.844086397848805,135.48393974851928,460.0,7,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_4k_500_c8.json,tp8_dp8_dpa_megamoe,4k_500,4096,500,8,matrix,100,51.357899169997836,1.9471201434660284,4074.9525074471385,485.7285909890354,4560.681098436174,3992.9535150295123,4088.7397904989484,7134.808444500231,8792.009206190054,285.29801480981405,291.356835001352,618.5673508516629,14.907519609167451,14.705643032132762,23.889268037389083,14.922525793971284,151.32634299952767,758.0,12,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_4k_500_c16.json,tp8_dp8_dpa_megamoe,4k_500,4096,500,16,matrix,100,33.51634999900125,2.9836184430279515,6244.146513753328,744.2934567977528,6988.4399705510805,5050.056780309387,4887.976143498236,9050.843838503353,10306.716875128988,369.7350205198745,291.8566184962401,1254.7742296825893,19.864778089655623,19.300379511200305,35.109762832151624,18.83730626398484,138.39429964864388,1616.0,21,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_4k_500_c32.json,tp8_dp8_dpa_megamoe,4k_500,4096,500,32,matrix,100,23.41524806399684,4.270721357582347,8937.80836436191,1065.3741498624922,10003.182514224403,6717.549075629795,6334.1386994979985,12080.963077797793,14268.371877876927,527.7068835999671,392.9210804963077,1490.34868653951,26.10139007273335,26.961171745921508,48.62438717223758,24.91281336239185,140.43252459960058,2770.0,38,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_4k_500_c64.json,tp8_dp8_dpa_megamoe,4k_500,4096,500,64,matrix,100,15.652165808001882,6.388892197198476,13370.737479218942,1593.7730475131318,14964.510526732074,8141.352712579827,7900.918140003341,12645.641976101617,13541.665280611634,1080.9798629098077,1122.4455424962798,2291.4033294002,35.16923691853982,33.121455258306106,57.672648443908706,28.4165189036046,143.31188880132686,4220.0,70,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_4k_500_c128.json,tp8_dp8_dpa_megamoe,4k_500,4096,500,128,matrix,100,11.936696220000158,8.377527429444683,17532.57317961613,2089.857992549271,19622.4311721654,9369.663370100388,9519.580673000746,11575.677436600381,11821.89237517261,2767.0429402699665,3514.176368000335,4724.922182433012,56.36543533116175,27.739818565220236,325.83669255087403,26.574161562545346,139.88022080120572,7717.0,100,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_32k_500_c1.json,tp8_dp8_dpa_megamoe,32k_500,32768,500,1,matrix,100,354.5148646660018,0.2820756192951535,4541.736216101775,70.36658398936899,4612.102800091144,3544.6038370896713,3667.806235996977,5785.956567598625,6786.732862397912,1442.4387623502844,1365.2723375016649,3029.931205898478,8.45454513086929,8.462713715755513,8.567038013291027,8.46075742163724,8.616650401381776,120.0,3,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_32k_500_c4.json,tp8_dp8_dpa_megamoe,32k_500,32768,500,4,matrix,100,169.48048988200026,0.5900384172220907,9500.285260687122,147.19098356022278,9647.476244247346,6747.130175430066,6608.5733824984345,11210.20064709374,15489.649859669154,1425.1977120998345,1438.9824680001766,3085.413138070508,21.212680844269734,20.107538329343907,52.24384126168009,21.419654828503436,178.6274471996876,456.0,6,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
tp8_dp8_dpa_megamoe_32k_500_c8.json,tp8_dp8_dpa_megamoe,32k_500,32768,500,8,matrix,100,136.44031557199924,0.7329212013382528,11800.859542503382,182.83452288584056,11983.694065389223,10793.120729940129,9969.177742499596,19212.286570797733,28176.486678549052,1456.5513297301368,1442.027016000793,3059.5741720768274,36.685564761690166,36.125209269847566,81.81422924363092,37.577734944055884,185.3828116010844,705.0,10,8,8,8,True,True,False,dsv4,megamoe,auto,fp8_e4m3,,success
