source_file,run_set,workload,input_len,output_len,concurrency,row_type,completed,duration_s,request_throughput_req_s,input_throughput_tok_s,output_throughput_tok_s,total_throughput_tok_s,mean_e2e_latency_ms,p90_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,max_output_tokens_per_s,max_concurrent_requests,tp_size,dp_size,ep_size,enable_nccl_nvls,moe_a2a_backend,enable_dp_attention,status
tp4_nvl_env_only_32k_500_c1.json,tp4_nvl_env_only,32k_500,32768,500,1,matrix,100,279.92659461600124,0.3572365110116757,5751.911504545422,89.11622003697262,5841.0277245823945,2798.7040644402805,4379.865872798838,5201.328154051626,693.6067798600925,1479.9338265194822,8.467726578826767,8.549609479717878,8.472554153184163,8.623161599825835,120.0,3,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_32k_500_c128.json,tp4_nvl_env_only,32k_500,32768,500,128,matrix,100,20.931577912997454,4.77747069120408,76922.67667026675,1191.7878386277698,78114.46450889451,17969.986511419957,20425.64912849848,20812.654621391084,6853.007654169996,14884.641715420003,114.95349001683009,760.2434133311713,44.74351853416975,167.49388380103483,6442.0,100,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_32k_500_c16.json,tp4_nvl_env_only,32k_500,32768,500,16,matrix,100,58.24572172899934,1.7168642954631304,27643.455213610272,428.2889671462325,28071.744180756505,8991.849306650074,16787.179833801565,19356.328523919627,881.5620030901482,2134.2916965315453,32.41561248893008,52.2625421405782,32.6422072267574,201.35661469903349,1308.0,20,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_32k_500_c32.json,tp4_nvl_env_only,32k_500,32768,500,32,matrix,100,42.855699251998885,2.3334119322609297,37570.56886488442,582.0929406218115,38152.661805506235,12905.611717060347,24068.299518198553,28394.363983298757,1549.7202499101331,5548.498443539834,47.74049443252021,87.21581638476117,45.70509080612638,574.5825970014266,2103.0,37,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_32k_500_c4.json,tp4_nvl_env_only,32k_500,32768,500,4,matrix,100,114.0051861819993,0.8771530782850417,14123.155743367635,218.81460690898652,14341.97035027662,4528.71913595005,7846.593796300296,10167.455073418823,744.3881261602655,1496.9955825299257,14.82716977506134,26.367058276635287,15.231129383321125,154.72759979984392,444.0,7,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_32k_500_c64.json,tp4_nvl_env_only,32k_500,32768,500,64,matrix,100,28.364338045001205,3.5255538077901143,56765.40018122364,879.4846528913218,57644.884834114964,16187.834174289894,25306.59209630321,26303.969063316836,3002.5447812498533,7099.633645617361,75.02796785901909,184.24304477750027,53.06803990050826,710.6100409997453,3631.0,69,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_32k_500_c8.json,tp4_nvl_env_only,32k_500,32768,500,8,matrix,100,80.20688227700157,1.2467758022889002,20074.499273507878,311.02069163898904,20385.51996514687,6283.810502510059,10951.396305802702,14355.987479640828,755.3362205800659,1455.3978834894951,21.529353477976937,44.515549698885685,22.250945719351208,141.06705064968983,738.0,11,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_4k_500_c1.json,tp4_nvl_env_only,4k_500,4096,500,1,matrix,100,227.855194795,0.4388752255131573,918.4824607061906,109.48181375651221,1027.9642744627029,2278.0089885300913,4027.403626000887,4307.087874237732,184.87346972993691,216.71433999115837,8.420830220134821,8.49479706394728,8.424411944618901,8.571457550715422,120.0,3,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_4k_500_c128.json,tp4_nvl_env_only,4k_500,4096,500,128,matrix,100,6.886946863000048,14.520222384355472,30388.066608202975,3622.214676001316,34010.28128420429,4079.7757432901926,6480.027667699687,6803.448802749481,810.7393257501826,938.2610527704311,14.621833239107005,29.252606917922414,13.157176739676823,16.094304598664166,7059.0,100,4,4,4,False,megamoe,True,success
tp4_nvl_env_only_4k_500_c16.json,tp4_nvl_env_only,4k_500,4096,500,16,matrix,100,29.183286412997404,3.4266188730362748,7171.262243679046,854.8043440676291,8026.066587746675,4334.887558110095,7489.414405302524,8822.520712160294,227.00136128994927,525.6692870404368,17.273776411358238,34.13919183486742,16.533373259357532,135.60032399855118,1326.0,23,4,4,4,False,megamoe,True,success
